Pos;Race;Race No;Share;Name;Club;Category;Cat Pos;Gender;Distance;Gen Pos;Time;Finish
9;2026_Bobbies_3-in-1_21K;3033;;Lenin SITHOLE;IRENE ATHLETICS CLUB;40-49;3;Male;21;9;01:30:43;01:30:43
13;2026_Bobbies_3-in-1_21K;3064;;Nelius VAN ROOYEN;IRENE ATHLETICS CLUB;Senior;5;Male;21;13;01:33:32;01:33:32
22;2026_Bobbies_3-in-1_21K;716;;Noel K BANDA;IRENE ATHLETICS CLUB;60-69;2;Male;21;21;01:39:16;01:39:16
26;2026_Bobbies_3-in-1_21K;765;;Andre GERBER;IRENE ATHLETICS CLUB;Senior;7;Male;21;25;01:40:42;01:40:42
28;2026_Bobbies_3-in-1_21K;3143;;Antonios MAKRIS;IRENE ATHLETICS CLUB;Senior;8;Male;21;27;01:41:04;01:41:04
79;2026_Bobbies_3-in-1_21K;741;;Johan DE KLERK;IRENE ATHLETICS CLUB;50-59;15;Male;21;70;01:56:06;01:56:06
83;2026_Bobbies_3-in-1_21K;810;;Rykie KRUGER;IRENE ATHLETICS CLUB;40-49;28;Male;21;73;01:56:14;01:56:14
109;2026_Bobbies_3-in-1_21K;725;;Lani BOTHA;IRENE ATHLETICS CLUB;50-59;2;Female;21;13;02:01:02;02:01:02
128;2026_Bobbies_3-in-1_21K;776;;Belinda HUDSON;IRENE ATHLETICS CLUB;50-59;4;Female;21;16;02:05:16;02:05:16
129;2026_Bobbies_3-in-1_21K;774;;Elisna HOUY;IRENE ATHLETICS CLUB;Senior;6;Female;21;17;02:05:17;02:05:17
162;2026_Bobbies_3-in-1_21K;973;;Clarence NETHENGWE;IRENE ATHLETICS CLUB;50-59;29;Male;21;139;02:10:31;02:10:31
166;2026_Bobbies_3-in-1_21K;3046;;Neel SWANEPOEL;IRENE ATHLETICS CLUB;Senior;40;Male;21;141;02:11:00;02:11:00
167;2026_Bobbies_3-in-1_21K;3037;;Eujean SNYMAN;IRENE ATHLETICS CLUB;Senior;41;Male;21;142;02:11:01;02:11:01
198;2026_Bobbies_3-in-1_21K;3040;;Kobus STEINMANN;IRENE ATHLETICS CLUB;50-59;38;Male;21;166;02:14:13;02:14:13
220;2026_Bobbies_3-in-1_21K;3071;;Nadene VISSER;IRENE ATHLETICS CLUB;50-59;7;Female;21;43;02:16:52;02:16:52
257;2026_Bobbies_3-in-1_21K;3229;;Aobakwe MODISAKENG;IRENE ATHLETICS CLUB;40-49;21;Female;21;49;02:22:38;02:22:38
268;2026_Bobbies_3-in-1_21K;718;;Henk BASSON;IRENE ATHLETICS CLUB;70-79;4;Male;21;218;02:25:20;02:25:20
269;2026_Bobbies_3-in-1_21K;745;;Joy DEKKER;IRENE ATHLETICS CLUB;50-59;9;Female;21;51;02:25:20;02:25:20
270;2026_Bobbies_3-in-1_21K;948;;Maureen MOSSOP;IRENE ATHLETICS CLUB;50-59;10;Female;21;52;02:25:20;02:25:20
271;2026_Bobbies_3-in-1_21K;3006;;Renette PRINSLOO;IRENE ATHLETICS CLUB;50-59;11;Female;21;53;02:25:21;02:25:21
272;2026_Bobbies_3-in-1_21K;3007;;Riaan PRINSLOO;IRENE ATHLETICS CLUB;50-59;49;Male;21;219;02:25:21;02:25:21
336;2026_Bobbies_3-in-1_21K;740;;Rhenier DE BEER;IRENE ATHLETICS CLUB;40-49;88;Male;21;264;02:34:23;02:34:23
